buyer_id,name,phone,city_id
1,Angela Ward,779-309-8045,3578
2,Alex Garrett,993-600-1259,7371
3,Theresa White,473-707-9538,3471
4,Emma Hangartner,371-258-7587,3175
5,Alan Peters,477-822-1130,3173
6,Marilyn Page,339-787-6913,6471
7,Patrick Herman,686-574-9205,3471
8,Carla Barlow,271-477-6442,3573
9,Mike Okura,710-393-6275,1375
10,Karl Collins,464-764-1533,3173
11,Kenneth Robinson,843-669-8664,3171
12,Milton Tarter,316-148-4209,3173
13,Clarence Marzett,255-856-6812,3175
14,Tamica Ball,878-290-5262,5171
15,Kathy Lukens,929-794-1713,7371
16,Luis Stiles,152-949-6550,3173
17,Lorrie Lyons,311-123-8334,3171
18,Evelyn Sanchez,628-952-2361,3175
19,Jack Blight,716-493-1053,1371
20,Kenneth Berry,448-112-1512,3578
21,Jeanine Reker,551-148-3675,5171
22,Cynthia Stooks,936-710-9072,7371
23,Charlene Oneil,124-120-1296,3578
24,Jay Arias,264-996-7087,1375
25,Rickie Serna,750-114-1835,3273
26,Michael Anderson,110-908-8168,5171
27,Alfred Kumar,839-909-6259,5171
28,Jannet Clarkson,466-117-8002,1371
29,Victor Rosa,277-272-1844,1371
30,Gwendolyn Colli,165-673-7093,6471
31,Travis Turpin,530-507-5004,6472
32,Louise Worthy,162-360-8282,3173
33,Michael Vargas,642-981-9508,5171
34,Sha Stout,519-903-6607,3578
35,George Riffel,385-260-4520,3171
36,Terry Covington,603-861-7931,3174
37,Jay Clifford,877-995-5511,6472
38,Arthur Harris,314-885-3690,3174
39,Ruth Wyant,679-565-2141,7371
40,Colby Freudenstein,439-110-9725,3175
41,Ofelia Frank,113-705-8390,3578
42,Marlene Jones,810-948-7045,3578
43,Christopher Mcneill,803-775-4937,6472
44,Janet Vaughan,915-451-3323,5171
45,Lavonne Rosso,492-875-9202,1375
46,Brenda Arnold,437-473-1930,6472
47,Paul Keeton,127-627-1821,3174
48,Scott Lambert,400-764-5238,6472
49,Regina Clawson,152-986-4434,3578
50,Carolyn Reed,494-560-2179,1375
51,Wesley Hammond,348-647-8454,3173
52,Ruby Geimer,797-846-8711,3573
53,Hillary Robinson,522-947-3690,6471
54,Mary Anderson,103-306-4821,3172
55,Ricky Smith,683-475-5533,1371
56,Todd Lundmark,118-883-1943,6472
57,Carol Foster,680-763-8967,7371
58,Ma Schultz,351-328-6951,3273
59,Martin Myers,903-461-3497,3175
60,Grace Stoviak,484-157-4763,3573
61,Rebecca Jeffcoat,747-646-2562,6471
62,Jerry Jernejcic,520-882-8269,6471
63,Shirley Hayes,460-611-4335,6471
64,Stephen Meza,418-205-8683,6471
65,Alfredo Kennedy,898-155-9702,3174
66,Glenn Garnes,861-876-8456,7371
67,John Crews,351-767-7849,7371
68,Connie Wichmann,411-167-2556,1375
69,Judy Allsbrook,545-755-5075,1371
70,Cheryl Tejeda,508-205-8509,3578
71,Robin Schaedler,412-583-3220,6471
72,Ruben Jalbert,156-792-8413,3273
73,Martin Elliott,817-444-9639,3578
74,Linda Mccool,336-696-4382,7371
75,Lynette Strode,380-380-4472,3171
