seller_id,name,phone,city_id
1,Geraldine Edwards,525-934-3407,6471
2,Susan Sharp,109-727-6692,3471
3,Carl Pearson,129-143-3523,3471
4,Rebecca Berry,493-464-9073,5171
5,Fernando Mcintosh,959-775-3042,1375
6,Alan Gandee,868-641-7594,3173
7,Amanda Lindsey,645-149-3091,3171
8,Morgan Cole,717-369-2540,3471
9,Anne Stenn,157-613-8861,3173
10,Elaine Rivera,116-674-2445,3173
11,Gary Jones,104-731-2423,3171
12,Judy Sloan,588-900-7829,1375
13,Jeannette Turner,299-645-1866,3175
14,Flora Mcclelland,807-171-3929,1371
15,Mario Soucier,100-360-3737,3578
16,Mark Rosa,134-537-3453,1371
17,Richard Davis,601-939-3561,3273
18,Beverly Carpenter,159-351-6655,6471
19,Joan White,963-761-8110,3578
20,Alphonse Gregory,683-227-2986,3273
21,Andy Mcduffie,203-871-2906,3471
22,Dorothy Day,159-253-5197,6471
23,Patricia Hawkins,516-808-8512,3172
24,Jessica Smith,326-144-5830,3171
25,Henry Best,915-859-7521,3578
